timestamp,zip_code,latitude,longitude,city,state,county,water_quality,air_quality_index
2018-01-01T08:16:36.647Z,501,40.922326,-72.637078,Holtsville,NY,Suffolk,501,32
2018-01-01T20:33:18.251Z,544,40.922326,-72.637078,Holtsville,NY,Suffolk,9,25
2018-01-01T11:24:08.797Z,601,18.165273,-66.722583,Adjuntas,PR,Adjuntas,289,33
2018-01-01T04:09:31.853Z,602,18.393103,-67.180953,Aguada,PR,Aguada,166,21
2018-01-01T14:48:13.907Z,603,18.455913,-67.14578,Aguadilla,PR,Aguadilla,9,43
2018-01-01T18:50:56.860Z,604,18.49352,-67.135883,Aguadilla,PR,Aguadilla,242,38
2018-01-01T02:38:07.594Z,605,18.465162,-67.141486,Aguadilla,PR,Aguadilla,91,11
2018-01-01T15:42:55.229Z,606,18.172947,-66.944111,Maricao,PR,Maricao,454,20
2018-01-01T04:21:47.414Z,610,18.288685,-67.139696,Anasco,PR,Anasco,208,12
2018-01-01T06:43:56.902Z,611,18.279531,-66.80217,Angeles,PR,Utuado,279,11
2018-01-01T14:06:59.529Z,612,18.450674,-66.698262,Arecibo,PR,Arecibo,260,24
2018-01-01T19:05:14.341Z,613,18.458093,-66.732732,Arecibo,PR,Arecibo,375,16
2018-01-01T21:36:12.143Z,614,18.429675,-66.674506,Arecibo,PR,Arecibo,240,33
2018-01-01T02:01:05.951Z,616,18.444792,-66.640678,Bajadero,PR,Arecibo,474,34
2018-01-01T20:07:01.752Z,617,18.447092,-66.544255,Barceloneta,PR,Barceloneta,579,35
2018-01-01T05:07:04.438Z,622,17.998531,-67.187318,Boqueron,PR,Cabo Rojo,395,37
2018-01-01T12:50:19.617Z,623,18.062201,-67.149541,Cabo Rojo,PR,Cabo Rojo,32,19
2018-01-01T10:10:07.739Z,624,18.023535,-66.726156,Penuelas,PR,Penuelas,516,10
2018-01-01T03:25:37.674Z,627,18.477891,-66.85477,Camuy,PR,Camuy,508,17
2018-01-01T20:38:50.017Z,631,18.269187,-66.864993,Castaner,PR,Lares,292,33
2018-01-01T22:04:41.814Z,636,18.113284,-67.039706,Rosario,PR,San German,569,23
2018-01-01T11:40:39.049Z,637,18.087322,-66.934911,Sabana Grande,PR,Sabana Grande,482,25
2018-01-01T11:35:56.479Z,638,18.33616,-66.472087,Ciales,PR,Ciales,151,29
2018-01-01T10:39:46.823Z,641,18.250027,-66.698957,Utuado,PR,Utuado,76,18
2018-01-01T23:40:48.044Z,646,18.43606,-66.281954,Dorado,PR,Dorado,599,33
2018-01-01T08:18:44.477Z,647,17.969594,-66.939754,Ensenada,PR,Guanica,358,10
2018-01-01T14:35:55.345Z,650,18.360125,-66.562311,Florida,PR,Florida,469,27
2018-01-01T04:55:37.575Z,652,18.457254,-66.603358,Garrochales,PR,Arecibo,297,11
2018-01-01T07:03:05.560Z,653,17.972468,-66.898661,Guanica,PR,Guanica,36,21
2018-01-01T20:37:03.896Z,656,18.02328,-66.786909,Guayanilla,PR,Guayanilla,172,45
2018-01-01T04:59:08.015Z,659,18.481391,-66.808696,Hatillo,PR,Hatillo,28,11
2018-01-01T17:44:08.357Z,660,18.145486,-67.135323,Hormigueros,PR,Hormigueros,32,30
2018-01-01T07:03:17.081Z,662,18.480285,-67.028155,Isabela,PR,Isabela,246,23
2018-01-01T14:10:02.786Z,664,18.217606,-66.598306,Jayuya,PR,Jayuya,88,11
2018-01-01T22:37:33.151Z,667,18.015099,-67.055973,Lajas,PR,Lajas,42,10
2018-01-01T17:52:41.650Z,669,18.295952,-66.881925,Lares,PR,Lares,183,31
2018-01-01T04:24:19.693Z,670,18.252135,-66.990967,Las Marias,PR,Las Marias,241,39
2018-01-01T18:30:25.810Z,674,18.44553,-66.490268,Manati,PR,Manati,97,17
2018-01-01T21:22:08.457Z,676,18.383727,-67.080799,Moca,PR,Moca,316,32
2018-01-01T06:15:44.824Z,677,18.335781,-67.252547,Rincon,PR,Rincon,50,22
2018-01-01T13:12:07.146Z,678,18.45303,-66.933689,Quebradillas,PR,Quebradillas,484,39
2018-01-01T02:20:19.126Z,680,18.219023,-67.508068,Mayaguez,PR,Mayaguez,218,20
2018-01-01T00:50:08.161Z,681,18.219023,-67.508068,Mayaguez,PR,Mayaguez,441,42
2018-01-01T04:23:10.616Z,682,18.219023,-67.508068,Mayaguez,PR,Mayaguez,55,26
2018-01-01T23:45:50.756Z,683,18.113284,-67.039706,San German,PR,San German,66,20
