timestamp,value
2013-12-02 21:20:00,133530.6
2013-12-02 21:25:00,137119.1
2013-12-02 21:30:00,133820.5
2013-12-02 21:35:00,136014.3
2013-12-02 21:40:00,133757.0
2013-12-02 21:45:00,127565.5
2013-12-02 21:50:00,121415.7
2013-12-02 21:55:00,114578.4
2013-12-02 22:00:00,104952.9
2013-12-02 22:05:00,102718.7
2013-12-02 22:10:00,96389.02
2013-12-02 22:15:00,91232.1
2013-12-02 22:20:00,99749.55
2013-12-02 22:25:00,94807.34
2013-12-02 22:30:00,93409.29
2013-12-02 22:35:00,97200.52
2013-12-02 22:40:00,97894.88
2013-12-02 22:45:00,103069.4
2013-12-02 22:50:00,102195.2
2013-12-02 22:55:00,109788.1
2013-12-02 23:00:00,107696.6
2013-12-02 23:05:00,109779.7
2013-12-02 23:10:00,111779.5
2013-12-02 23:15:00,110527.9
2013-12-02 23:20:00,110237.3
2013-12-02 23:25:00,108851.8
2013-12-02 23:30:00,112568.0
2013-12-02 23:35:00,114995.7
2013-12-02 23:40:00,120714.9
2013-12-02 23:45:00,113050.6
2013-12-02 23:50:00,112865.1
2013-12-02 23:55:00,111789.6
2013-12-03 00:00:00,108160.8
2013-12-03 00:05:00,108454.4
2013-12-03 00:10:00,112247.5
2013-12-03 00:15:00,108898.3
2013-12-03 00:20:00,109105.7
2013-12-03 00:25:00,106853.9
2013-12-03 00:30:00,108146.1
2013-12-03 00:35:00,109465.7
2013-12-03 00:40:00,111864.8
2013-12-03 00:45:00,113050.6
2013-12-03 00:50:00,113924.7
2013-12-03 00:55:00,110186.9
2013-12-03 01:00:00,109534.5
2013-12-03 01:05:00,108436.7
2013-12-03 01:10:00,111193.3
2013-12-03 01:15:00,109853.1
2013-12-03 01:20:00,108863.5
2013-12-03 01:25:00,111232.1
2013-12-03 01:30:00,111876.4
2013-12-03 01:35:00,112954.5
2013-12-03 01:40:00,109816.1
2013-12-03 01:45:00,111070.4
2013-12-03 01:50:00,111484.0
2013-12-03 01:55:00,113311.9
2013-12-03 02:00:00,114802.9
2013-12-03 02:05:00,112759.7
2013-12-03 02:10:00,109233.1
2013-12-03 02:15:00,110158.3
2013-12-03 02:20:00,109094.0
2013-12-03 02:25:00,109342.0
2013-12-03 02:30:00,112783.7
2013-12-03 02:35:00,113030.6
2013-12-03 02:40:00,109172.7
2013-12-03 02:45:00,98990.28
2013-12-03 02:50:00,109901.9
2013-12-03 02:55:00,108592.2
2013-12-03 03:00:00,112577.6
2013-12-03 03:05:00,113574.0
2013-12-03 03:10:00,113922.1
2013-12-03 03:15:00,109616.3
2013-12-03 03:20:00,113883.1
2013-12-03 03:25:00,112538.5
2013-12-03 03:30:00,110900.8
2013-12-03 03:35:00,111461.7
2013-12-03 03:40:00,112025.5
2013-12-03 03:45:00,108343.1
2013-12-03 03:50:00,108888.4
2013-12-03 03:55:00,114338.3
2013-12-03 04:00:00,115509.9
2013-12-03 04:05:00,111111.0
2013-12-03 04:10:00,110750.1
2013-12-03 04:15:00,113870.4
2013-12-03 04:20:00,115038.8
2013-12-03 04:25:00,111416.6
2013-12-03 04:30:00,115924.4
2013-12-03 04:35:00,111532.9
2013-12-03 04:40:00,113092.3
2013-12-03 04:45:00,115499.2
2013-12-03 04:50:00,110599.4
2013-12-03 04:55:00,108849.6
2013-12-03 05:00:00,112106.2
2013-12-03 05:05:00,113183.0
2013-12-03 05:10:00,114394.8
2013-12-03 05:15:00,112689.2
2013-12-03 05:20:00,111085.6
2013-12-03 05:25:00,112952.2
2013-12-03 05:30:00,113716.1
2013-12-03 05:35:00,112086.6
2013-12-03 05:40:00,114489.1
2013-12-03 05:45:00,113388.7
2013-12-03 05:50:00,111144.4
2013-12-03 05:55:00,112618.5
2013-12-03 06:00:00,113250.5
2013-12-03 06:05:00,107879.2
2013-12-03 06:10:00,108732.6
2013-12-03 06:15:00,111724.0
2013-12-03 06:20:00,111452.6
2013-12-03 06:25:00,116267.3
2013-12-03 06:30:00,110138.5
2013-12-03 06:35:00,111110.1
2013-12-03 06:40:00,107780.1
2013-12-03 06:45:00,113226.0
2013-12-03 06:50:00,111403.5
2013-12-03 06:55:00,113062.4
2013-12-03 07:00:00,112187.7
2013-12-03 07:05:00,114370.2
2013-12-03 07:10:00,112307.6
2013-12-03 07:15:00,108489.2
2013-12-03 07:20:00,116044.4
2013-12-03 07:25:00,115121.6
2013-12-03 07:30:00,116155.6
2013-12-03 07:35:00,109598.3
2013-12-03 07:40:00,114158.8
2013-12-03 07:45:00,107241.3
2013-12-03 07:50:00,112870.5
2013-12-03 07:55:00,115965.1
2013-12-03 08:00:00,114391.7
2013-12-03 08:05:00,110167.1
2013-12-03 08:10:00,110830.7
2013-12-03 08:15:00,115708.5
2013-12-03 08:20:00,112939.9
2013-12-03 08:25:00,113846.3
2013-12-03 08:30:00,115567.7
2013-12-03 08:35:00,113765.1
2013-12-03 08:40:00,114802.9
2013-12-03 08:45:00,109088.4
2013-12-03 08:50:00,111222.6
2013-12-03 08:55:00,114534.4
2013-12-03 09:00:00,112718.6
2013-12-03 09:05:00,112408.1
2013-12-03 09:10:00,116477.5
2013-12-03 09:15:00,115076.6
2013-12-03 09:20:00,110730.3
2013-12-03 09:25:00,110578.0
2013-12-03 09:30:00,113683.5
2013-12-03 09:35:00,111484.0
2013-12-03 09:40:00,113423.2
2013-12-03 09:45:00,108913.8
2013-12-03 09:50:00,115567.7
2013-12-03 09:55:00,112366.8
2013-12-03 10:00:00,114539.2
2013-12-03 10:05:00,113703.6
2013-12-03 10:10:00,108828.2
